Detection_Rate,N_Detected,Mean_Abundance,Median_Abundance,SD_Abundance,CV_Percent,Min_Abundance,Max_Abundance,Gene,Accession,Description
100.0,120,678616765.7127805,637818398.9373555,147396536.14156994,21.72014361990497,366007797.527955,1118014550.34586,C1QC,P02747,Complement C1q subcomponent subunit C OS=Homo sapiens OX=9606 GN=C1QC PE=1 SV=3
100.0,120,400191282.87659526,373517574.066087,132486633.82997994,33.10582701293723,223921927.671129,1142663321.53796,APOC4,P55056,Apolipoprotein C-IV OS=Homo sapiens OX=9606 GN=APOC4 PE=1 SV=1
100.0,120,719381164.5286456,680952500.325772,130187167.8964885,18.097105445037613,485724505.210876,1204493411.59679,SERPINF1,P36955,Pigment epithelium-derived factor OS=Homo sapiens OX=9606 GN=SERPINF1 PE=1 SV=4
100.0,120,754807035.7347703,699651863.149509,177424228.42785928,23.505905486843385,516926716.005037,1620628274.68188,S100A8,P05109,Protein S100-A8 OS=Homo sapiens OX=9606 GN=S100A8 PE=1 SV=1
100.0,120,1191576508.0708723,1186538938.568695,262137452.84841704,21.9992128976099,271669183.282539,1861115298.30075,DSG1,Q02413,Desmoglein-1 OS=Homo sapiens OX=9606 GN=DSG1 PE=1 SV=2
100.0,120,1380019157.0144167,1327880459.08246,319434346.96479166,23.147095121191466,732173324.737671,2187863830.93766,ENO1,P06733,Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=2
100.0,120,330994493.07341754,318669630.7900965,73664828.3052937,22.255605409409085,220217860.555024,612103901.329145,ARHGAP18,Q8N392,Rho GTPase-activating protein 18 OS=Homo sapiens OX=9606 GN=ARHGAP18 PE=1 SV=3
100.0,120,21947821.948586773,17078987.75144165,18873634.740747288,85.99320144367476,6696868.78024048,184990348.53097,KRT6B,P04259,"Keratin, type II cytoskeletal 6B OS=Homo sapiens OX=9606 GN=KRT6B PE=1 SV=5"
100.0,120,327152391.9193821,317782227.113254,67198836.3651169,20.540530353718534,143912961.784713,667419441.697244,RSU1,Q15404,Ras suppressor protein 1 OS=Homo sapiens OX=9606 GN=RSU1 PE=1 SV=3
100.0,120,228889026.66346186,228008812.184368,39123284.864284106,17.092686982241187,137929708.387525,324269229.269814,APOC4-APOC2,K7ER74,Apolipoprotein C-II OS=Homo sapiens OX=9606 GN=APOC4-APOC2 PE=1 SV=1
100.0,120,39306595.81678994,37133832.116020605,14262864.79181785,36.28618682293881,17408700.9654621,93269329.8479848,PYM1,Q9BRP8,Partner of Y14 and mago OS=Homo sapiens OX=9606 GN=PYM1 PE=1 SV=1
100.0,120,480028078.8087693,475700418.8170165,97262863.80939433,20.26191135542747,154621588.392626,696099833.009594,PPIB,P23284,Peptidyl-prolyl cis-trans isomerase B OS=Homo sapiens OX=9606 GN=PPIB PE=1 SV=2
100.0,120,346666137.7310385,360922199.723696,101617986.70133027,29.312925504183728,98176130.0822265,562495293.896137,ADAM10,O14672,Disintegrin and metalloproteinase domain-containing protein 10 OS=Homo sapiens OX=9606 GN=ADAM10 PE=1 SV=1
100.0,120,2112871840.1821685,2047646269.384015,352446337.2328171,16.68091412503419,1423925911.51303,3112470083.04526,PLG,P00747,Plasminogen OS=Homo sapiens OX=9606 GN=PLG PE=1 SV=2
100.0,120,129471119.89316732,121742827.5492445,41284195.14707893,31.886798523983153,55748738.5115307,254553530.287608,ARF3,P61204,ADP-ribosylation factor 3 OS=Homo sapiens OX=9606 GN=ARF3 PE=1 SV=2
100.0,120,623379866.1855181,553982729.661022,187534235.16566783,30.08346039681967,365430873.520907,1241008859.15077,SELENOP,P49908,Selenoprotein P OS=Homo sapiens OX=9606 GN=SELENOP PE=1 SV=3
100.0,120,28014058.843689695,25718785.39269595,9837534.924104556,35.11642129044971,11270749.7849158,74787694.1372484,ICAM1,P05362,Intercellular adhesion molecule 1 OS=Homo sapiens OX=9606 GN=ICAM1 PE=1 SV=2
100.0,120,942717731.711831,806226966.05626,502998319.73837733,53.35619590235239,8746.26560087408,2848113231.04356,DIAPH1,O60610,Protein diaphanous homolog 1 OS=Homo sapiens OX=9606 GN=DIAPH1 PE=1 SV=2
100.0,120,243214476.17797318,235118457.938659,53829413.740447074,22.1324875831228,156884754.449771,445624648.102582,ORM2,P19652,Alpha-1-acid glycoprotein 2 OS=Homo sapiens OX=9606 GN=ORM2 PE=1 SV=2
100.0,120,739445079.6228676,705450533.966949,156479660.34818578,21.161769096900837,491956407.987394,1362572864.1367,C9,P02748,Complement component C9 OS=Homo sapiens OX=9606 GN=C9 PE=1 SV=2
100.0,120,319797559.82947224,309865153.78696954,91039706.91736382,28.467917943435694,150213749.306205,638259890.730765,H1-3,P16402,Histone H1.3 OS=Homo sapiens OX=9606 GN=H1-3 PE=1 SV=2
100.0,120,325036120.85429853,313778433.05588603,70129629.60969496,21.575949597654542,196964561.034805,678811196.454056,KRAS,P01116,GTPase KRas OS=Homo sapiens OX=9606 GN=KRAS PE=1 SV=1
100.0,120,449778976.5296515,437400718.8524055,106186909.09012191,23.608686628580465,77039423.3402923,889762254.874595,EIF2S3,P41091,Eukaryotic translation initiation factor 2 subunit 3 OS=Homo sapiens OX=9606 GN=EIF2S3 PE=1 SV=3
100.0,120,193906271.25608215,175168633.03218198,80889920.70011926,41.71598998636411,107263773.078659,841981259.196329,HMGB1,P09429,High mobility group protein B1 OS=Homo sapiens OX=9606 GN=HMGB1 PE=1 SV=3
100.0,120,697664480.6012042,680950902.7594831,146081222.48011774,20.938606814873815,323700114.852589,988248548.951954,LBP,P18428,Lipopolysaccharide-binding protein OS=Homo sapiens OX=9606 GN=LBP PE=1 SV=3
100.0,120,1075100537.3164594,1042558322.337265,321520531.67558324,29.90608975771934,359584156.104208,1984921498.02361,KRT16,P08779,"Keratin, type I cytoskeletal 16 OS=Homo sapiens OX=9606 GN=KRT16 PE=1 SV=4"
100.0,120,161440350.4544836,150080302.751974,86964043.20206617,53.867600607435975,59912405.6481024,935336014.733998,CPB2,Q96IY4,Carboxypeptidase B2 OS=Homo sapiens OX=9606 GN=CPB2 PE=1 SV=2
100.0,120,52523842.530010596,48972389.937529445,15084725.470584745,28.71976752646338,29930805.7077084,111583076.849627,CSTA,P01040,Cystatin-A OS=Homo sapiens OX=9606 GN=CSTA PE=1 SV=1
100.0,120,1236671797.8108952,1222192473.54314,200037397.77277932,16.175463702404887,764477971.954397,1765955868.8478,PKM,P14618,Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4
28.333333333333332,34,96285.97482732564,59291.31676773085,138527.186652454,143.8705760635249,12081.2458375289,830095.949179617,PKM,A0A804F729,Pyruvate kinase OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=1
100.0,120,153724388.33510154,120209652.1821415,107349435.83810042,69.83240395407589,61722049.0352285,985100365.584993,NACA,E9PAV3,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form OS=Homo sapiens OX=9606 GN=NACA PE=1 SV=1"
100.0,120,1614315326.8191156,1592838123.773865,323088149.38502395,20.013943002179403,753534517.437026,2753835441.53794,TUBB1,Q9H4B7,Tubulin beta-1 chain OS=Homo sapiens OX=9606 GN=TUBB1 PE=1 SV=1
100.0,120,463963002.06892294,450027047.0394705,98096174.73370868,21.143102854381528,270209293.52047,669199679.663201,HPX,P02790,Hemopexin OS=Homo sapiens OX=9606 GN=HPX PE=1 SV=2
100.0,120,352873325.73901767,312244728.18486,155810484.84965438,44.1547925231647,114082358.305272,1093465468.27373,SERPINC1,P01008,Antithrombin-III OS=Homo sapiens OX=9606 GN=SERPINC1 PE=1 SV=1
100.0,120,336876718.67680573,320868446.527313,87274322.5656688,25.906902355397975,211218136.166766,894629355.9012,KRT78,Q8N1N4,"Keratin, type II cytoskeletal 78 OS=Homo sapiens OX=9606 GN=KRT78 PE=1 SV=2"
100.0,120,252310449.21382385,252888031.403984,66061168.39284949,26.182494065818524,103679129.311986,436373725.06948,GSN,P06396,Gelsolin OS=Homo sapiens OX=9606 GN=GSN PE=1 SV=1
100.0,120,120247389.14753431,120845069.5405575,40800868.964178585,33.930773261213226,5016725.15092902,214464081.05105,IGKV2-28,A0A075B6P5,Immunoglobulin kappa variable 2-28 OS=Homo sapiens OX=9606 GN=IGKV2-28 PE=3 SV=1
80.0,96,4030778.4717665073,3574051.86309052,3335939.417088217,82.76166602691579,9057.5150356795,16149193.7049743,PRXL2A,Q9BRX8,Peroxiredoxin-like 2A OS=Homo sapiens OX=9606 GN=PRXL2A PE=1 SV=3
