Gene,Accession,Description,Log2FC,P_value,FDR,Cohens_d
FUS,P35637,RNA-binding protein FUS OS=Homo sapiens OX=9606 GN=FUS PE=1 SV=1,0.9105456173602633,2.1184442837797582e-07,7.180173923534372e-06,1.5191470836380436
B2M,P61769,Beta-2-microglobulin OS=Homo sapiens OX=9606 GN=B2M PE=1 SV=1,0.7711684827658907,5.3485411573192245e-06,0.0001092336674821734,1.2945034572162808
NAA10,P41227,N-alpha-acetyltransferase 10 OS=Homo sapiens OX=9606 GN=NAA10 PE=1 SV=1,0.967608446101508,0.006913600102637752,0.03633259532667235,0.7231797864808148
IGKV1-33,A0AAG2T928,Immunoglobulin kappa variable 1-33 OS=Homo sapiens OX=9606 GN=IGKV1-33 PE=1 SV=1,1.0733391383020887,0.008076644983192487,0.040081294262385145,0.7083466518610061
MTARC2,Q969Z3,Mitochondrial amidoxime reducing component 2 OS=Homo sapiens OX=9606 GN=MTARC2 PE=1 SV=1,1.820045255765681,5.005707970698431e-05,0.0007452423175067852,1.1313481817503361
CAT,P04040,Catalase OS=Homo sapiens OX=9606 GN=CAT PE=1 SV=3,-0.5659071793914805,0.004165587448296484,0.02531365963157427,-0.770309508299409
FAM151A,Q8WW52,Protein FAM151A OS=Homo sapiens OX=9606 GN=FAM151A PE=1 SV=2,4.800366192701613,1.147611019998345e-16,1.661949413506694e-14,2.981655560478954
HMOX1,P09601,Heme oxygenase 1 OS=Homo sapiens OX=9606 GN=HMOX1 PE=1 SV=1,1.8980277341188625,1.8739812683774436e-18,3.7315652006565844e-16,3.2896196199411865
AZGP1,P25311,Zinc-alpha-2-glycoprotein OS=Homo sapiens OX=9606 GN=AZGP1 PE=1 SV=2,0.8572441268187987,2.8541865691511033e-07,9.126901864448878e-06,1.4987699294990373
TAF15,Q92804,TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1,0.5380399566467098,0.0009300719879018282,0.007880875940040492,0.9010764075562516
ITIH4,B7ZKJ8,ITIH4 protein OS=Homo sapiens OX=9606 GN=ITIH4 PE=1 SV=1,1.461252928189083,0.0008143750397005912,0.0072474828952125234,0.9121507575104686
Unknown,A0A8Q3SIA1,Sushi domain-containing protein OS=Homo sapiens OX=9606 PE=4 SV=1,-0.8574879352060698,0.004475788917838396,0.026605872530844718,-0.7637329776565424
KRT15,P19012,"Keratin, type I cytoskeletal 15 OS=Homo sapiens OX=9606 GN=KRT15 PE=1 SV=3",1.2614196442399894,0.0010887062203081914,0.009032859421619526,0.8878526590976641
HBA1,G3V1N2,Alpha-globin OS=Homo sapiens OX=9606 GN=HBA1 PE=1 SV=1,-1.6041611014043404,1.6902162415083002e-05,0.0002958807112882112,-1.2115908403940852
KRT13,K7EMD9,Keratin 13 (Fragment) OS=Homo sapiens OX=9606 GN=KRT13 PE=1 SV=1,-2.0511452886919024,9.048026407842346e-10,5.765402427077143e-08,-1.8858238566118648
IGHA2,P01877,Immunoglobulin heavy constant alpha 2 OS=Homo sapiens OX=9606 GN=IGHA2 PE=1 SV=5,0.6391948485865413,0.0005605383632411109,0.005386696386016135,0.9429180598355402
KRT72,Q14CN4,"Keratin, type II cytoskeletal 72 OS=Homo sapiens OX=9606 GN=KRT72 PE=1 SV=2",2.701048770603041,0.0005060550265436125,0.0050384103580248425,0.9512498296585021
TUBA1C,F5H5D3,Tubulin alpha chain OS=Homo sapiens OX=9606 GN=TUBA1C PE=1 SV=1,-1.040332020626554,0.0018161110480093175,0.013222198849527926,-0.8441202594229316
Unknown,H0YJW9,Uncharacterized protein (Fragment) OS=Homo sapiens OX=9606 PE=1 SV=3,0.8370604422954813,0.0004398470461980503,0.004520492545764478,0.9626148965092849
UBC,F5H2Z3,Ubiquitin C (Fragment) OS=Homo sapiens OX=9606 GN=UBC PE=1 SV=1,-1.157614266234198,5.421651722106435e-05,0.0007851537448468682,-1.1253583516515882
IGHV3OR16-9,A0A0B4J2B5,Immunoglobulin heavy variable 3/OR16-9 (non-functional) (Fragment) OS=Homo sapiens OX=9606 GN=IGHV3OR16-9 PE=1 SV=1,0.6813145319552376,8.508213709497396e-07,2.297217701564297e-05,1.4235654498599353
KRT31,Q15323,"Keratin, type I cuticular Ha1 OS=Homo sapiens OX=9606 GN=KRT31 PE=1 SV=3",0.5329456590676003,0.0001263918475315133,0.0016369285619325259,1.0609625022287055
ENO3,P13929,Beta-enolase OS=Homo sapiens OX=9606 GN=ENO3 PE=1 SV=5,0.5076227983824175,5.0564640974754865e-06,0.00010460970528933052,1.2985026028088276
KRT86,O43790,"Keratin, type II cuticular Hb6 OS=Homo sapiens OX=9606 GN=KRT86 PE=1 SV=1",1.2960244347077001,0.002571472656597854,0.017580926789529536,0.8136651688422649
HLA-C,P10321,"HLA class I histocompatibility antigen, C alpha chain OS=Homo sapiens OX=9606 GN=HLA-C PE=1 SV=3",1.1829178273293621,1.0559068826745474e-07,4.205149160251385e-06,1.5665333306918006
PCSK9,A0AA34QVH0,Proprotein convertase subtilisin/kexin type 9 OS=Homo sapiens OX=9606 GN=PCSK9 PE=1 SV=1,-0.6699856728343825,0.007980715906440734,0.0400424501460651,-0.7094931081687793
RHOF,Q9HBH0,Rho-related GTP-binding protein RhoF OS=Homo sapiens OX=9606 GN=RHOF PE=1 SV=1,1.278732193254303,2.3389307863737578e-06,5.103995537936159e-05,1.3530195833977885
KIF5B,P33176,Kinesin-1 heavy chain OS=Homo sapiens OX=9606 GN=KIF5B PE=1 SV=1,0.600317373080685,0.0031577013837882054,0.020615648788420537,0.7953740094947277
HLA-B,A0A140T9D4,"Major histocompatibility complex, class I, B (Fragment) OS=Homo sapiens OX=9606 GN=HLA-B PE=1 SV=1",0.6530270191515513,6.094486454037231e-06,0.00012135646151601638,1.2851898086040205
RGS18,Q9NS28,Regulator of G-protein signaling 18 OS=Homo sapiens OX=9606 GN=RGS18 PE=1 SV=1,0.6467201129343749,0.010334115788918442,0.04771665638187559,0.6844411173712973
IGHV3-49,A0A0A0MS15,Immunoglobulin heavy variable 3-49 OS=Homo sapiens OX=9606 GN=IGHV3-49 PE=1 SV=1,0.7389956066607972,0.009448889584202369,0.04459348958931595,0.6931845496477252
SYK,P43405,Tyrosine-protein kinase SYK OS=Homo sapiens OX=9606 GN=SYK PE=1 SV=1,0.5506341895106139,9.755677393726462e-05,0.001295066174017188,1.0808437916777602
AIMP1,Q12904,Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 OS=Homo sapiens OX=9606 GN=AIMP1 PE=1 SV=2,0.6503172613722548,0.00026731743993862295,0.002977878893861723,1.0024475485068856
PRDX2,P32119,Peroxiredoxin-2 OS=Homo sapiens OX=9606 GN=PRDX2 PE=1 SV=5,0.7630930190948888,0.0007353360070528754,0.006693658624201317,0.920613609310774
DOCK2,Q92608,Dedicator of cytokinesis protein 2 OS=Homo sapiens OX=9606 GN=DOCK2 PE=1 SV=2,0.54141360587845,0.003356542016252556,0.021427065189640236,0.7898883014189437
FCN2,Q15485,Ficolin-2 OS=Homo sapiens OX=9606 GN=FCN2 PE=1 SV=2,0.8906119362952047,0.0015814426694959615,0.011883198926920125,0.8560659525733295
HNRNPU,Q00839,Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens OX=9606 GN=HNRNPU PE=1 SV=6,0.7631257269682514,6.806431855004858e-05,0.0009511092934230473,1.108214109704555
YWHAH,Q04917,14-3-3 protein eta OS=Homo sapiens OX=9606 GN=YWHAH PE=1 SV=4,0.9401057093590559,0.0005460288774099532,0.005336343568797887,0.9450586032404085
SSB,P05455,Lupus La protein OS=Homo sapiens OX=9606 GN=SSB PE=1 SV=2,0.6321856087533746,0.00019659093878645503,0.0023906058434108616,1.0266451233969502
HSP90B1,A0A7P0T823,Endoplasmin OS=Homo sapiens OX=9606 GN=HSP90B1 PE=1 SV=1,1.2241803222571512,0.005630224853555577,0.031580803491950825,0.7424948911475626
ANXA1,P04083,Annexin A1 OS=Homo sapiens OX=9606 GN=ANXA1 PE=1 SV=2,0.7377697955081892,4.9574342639733945e-05,0.0007450181870292091,1.1320744510834706
IGLV3-9,A0A075B6K5,Immunoglobulin lambda variable 3-9 OS=Homo sapiens OX=9606 GN=IGLV3-9 PE=1 SV=1,1.004038461060361,1.5446276754780307e-14,1.757565633597502e-12,2.630750302541836
DDX17,Q92841,Probable ATP-dependent RNA helicase DDX17 OS=Homo sapiens OX=9606 GN=DDX17 PE=1 SV=2,-0.9085897691667579,0.00024112070661949056,0.0027788604704979698,-1.0105997633809944
LOC100653049,A0A140TA62,IF rod domain-containing protein OS=Homo sapiens OX=9606 GN=LOC100653049 PE=3 SV=2,-1.3476175568471866,0.009721297900392334,0.04568149721334805,-0.6904168928763987
PSME1,Q06323,Proteasome activator complex subunit 1 OS=Homo sapiens OX=9606 GN=PSME1 PE=1 SV=1,-1.3737817648006079,2.282633592807827e-17,3.6362353133428684e-15,-3.1009179968832594
PLEKHF2,Q9H8W4,Pleckstrin homology domain-containing family F member 2 OS=Homo sapiens OX=9606 GN=PLEKHF2 PE=1 SV=1,2.6004348771155357,5.3450311847813766e-11,4.481386672293018e-09,2.0747025730512982
NAA15,Q9BXJ9,"N-alpha-acetyltransferase 15, NatA auxiliary subunit OS=Homo sapiens OX=9606 GN=NAA15 PE=1 SV=1",0.7541277359854845,2.757299165065413e-05,0.00045753933020304196,1.175691116127141
APMAP,Q9HDC9,Adipocyte plasma membrane-associated protein OS=Homo sapiens OX=9606 GN=APMAP PE=1 SV=2,-0.7485220463589215,0.0035105832338229127,0.022104186132331623,-0.7858434312453354
